Order ID,Customer Name,SKU,Quantity
1,"Na Lewis","ENG-071",1
1,"Na Lewis","ENG-024",5
1,"Na Lewis","ENG-001",10
1,"Na Lewis","ENG-034",5
1,"Na Lewis","ENG-038",4
1,"Na Lewis","ENG-065",6
1,"Na Lewis","ENG-087",5
1,"Na Lewis","ENG-031",9
1,"Na Lewis","ENG-007",8
1,"Na Lewis","ENG-088",10
1,"Na Lewis","ENG-100",8
1,"Na Lewis","ENG-100",9
1,"Na Lewis","ENG-032",2
1,"Na Lewis","ENG-039",6
1,"Na Lewis","ENG-053",7
1,"Na Lewis","ENG-041",1
1,"Na Lewis","ENG-033",10
1,"Na Lewis","ENG-004",10
1,"Na Lewis","ENG-033",9
1,"Na Lewis","ENG-008",9
1,"Na Lewis","ENG-039",6
1,"Na Lewis","ENG-002",7
1,"Na Lewis","ENG-096",8
2,"Darya Thompson","ENG-074",1
2,"Darya Thompson","ENG-005",4
2,"Darya Thompson","ENG-015",6
2,"Darya Thompson","ENG-056",1
2,"Darya Thompson","ENG-032",7
2,"Darya Thompson","ENG-091",7
2,"Darya Thompson","ENG-071",1
2,"Darya Thompson","ENG-036",7
2,"Darya Thompson","ENG-078",10
2,"Darya Thompson","ENG-056",10
2,"Darya Thompson","ENG-049",5
2,"Darya Thompson","ENG-089",9
2,"Darya Thompson","ENG-055",2
2,"Darya Thompson","ENG-038",5
2,"Darya Thompson","ENG-075",3
2,"Darya Thompson","ENG-047",6
2,"Darya Thompson","ENG-023",8
2,"Darya Thompson","ENG-054",10
2,"Darya Thompson","ENG-052",2
2,"Darya Thompson","ENG-072",10
2,"Darya Thompson","ENG-008",2
3,"Helga Thongdi","ENG-034",6
3,"Helga Thongdi","ENG-100",7
3,"Helga Thongdi","ENG-073",9
3,"Helga Thongdi","ENG-058",10
3,"Helga Thongdi","ENG-038",3
3,"Helga Thongdi","ENG-054",1
3,"Helga Thongdi","ENG-088",1
3,"Helga Thongdi","ENG-093",5
3,"Helga Thongdi","ENG-066",1
3,"Helga Thongdi","ENG-028",7
3,"Helga Thongdi","ENG-042",9
3,"Helga Thongdi","ENG-029",2
3,"Helga Thongdi","ENG-097",9
3,"Helga Thongdi","ENG-073",2
3,"Helga Thongdi","ENG-071",10
3,"Helga Thongdi","ENG-067",7
3,"Helga Thongdi","ENG-001",7
3,"Helga Thongdi","ENG-092",3
3,"Helga Thongdi","ENG-038",7
3,"Helga Thongdi","ENG-071",5
3,"Helga Thongdi","ENG-095",3
3,"Helga Thongdi","ENG-096",8
3,"Helga Thongdi","ENG-051",4
3,"Helga Thongdi","ENG-033",7
3,"Helga Thongdi","ENG-071",1
3,"Helga Thongdi","ENG-081",3
3,"Helga Thongdi","ENG-055",4
3,"Helga Thongdi","ENG-068",8
3,"Helga Thongdi","ENG-061",4
3,"Helga Thongdi","ENG-064",8
3,"Helga Thongdi","ENG-026",10
3,"Helga Thongdi","ENG-066",8
4,"Fatima John","ENG-014",6
4,"Fatima John","ENG-008",6
4,"Fatima John","ENG-001",9
4,"Fatima John","ENG-051",4
4,"Fatima John","ENG-072",5
4,"Fatima John","ENG-041",9
4,"Fatima John","ENG-015",2
4,"Fatima John","ENG-018",3
4,"Fatima John","ENG-062",4
4,"Fatima John","ENG-047",3
4,"Fatima John","ENG-068",9
4,"Fatima John","ENG-082",7
4,"Fatima John","ENG-082",3
4,"Fatima John","ENG-047",1
4,"Fatima John","ENG-083",4
4,"Fatima John","ENG-061",5
4,"Fatima John","ENG-013",7
4,"Fatima John","ENG-100",9
4,"Fatima John","ENG-089",1
4,"Fatima John","ENG-016",2
4,"Fatima John","ENG-012",5
4,"Fatima John","ENG-080",8
4,"Fatima John","ENG-020",1
4,"Fatima John","ENG-005",1
4,"Fatima John","ENG-077",6
4,"Fatima John","ENG-091",6
5,"Jan Shimizu","ENG-060",1
5,"Jan Shimizu","ENG-060",9
5,"Jan Shimizu","ENG-053",7
5,"Jan Shimizu","ENG-007",2
5,"Jan Shimizu","ENG-004",7
5,"Jan Shimizu","ENG-098",4
5,"Jan Shimizu","ENG-040",5
5,"Jan Shimizu","ENG-061",1
5,"Jan Shimizu","ENG-025",10
5,"Jan Shimizu","ENG-077",5
5,"Jan Shimizu","ENG-050",9
5,"Jan Shimizu","ENG-042",1
5,"Jan Shimizu","ENG-100",6
5,"Jan Shimizu","ENG-014",7
5,"Jan Shimizu","ENG-027",6
5,"Jan Shimizu","ENG-046",7
5,"Jan Shimizu","ENG-006",4
5,"Jan Shimizu","ENG-037",8
5,"Jan Shimizu","ENG-048",7
5,"Jan Shimizu","ENG-018",10
5,"Jan Shimizu","ENG-036",2
5,"Jan Shimizu","ENG-037",5
5,"Jan Shimizu","ENG-092",8
5,"Jan Shimizu","ENG-099",4
5,"Jan Shimizu","ENG-054",10
5,"Jan Shimizu","ENG-087",3
5,"Jan Shimizu","ENG-049",7
5,"Jan Shimizu","ENG-090",7
